year,bundesland,diebstahl_insgesamt,kfz_diebstahl,wohnungseinbruch
2024,Hamburg,92910.0,1717.0,3008.0
2024,Hessen,122004.0,1222.0,5867.0
2024,Mecklenburg-Vorpommern,29206.0,271.0,939.0
2024,Niedersachsen,168513.0,2226.0,7203.0
2024,Nordrhein-Westfalen,523201.0,6271.0,28464.0
2024,Rheinland-Pfalz,61415.0,1074.0,2626.0
2024,Saarland,19487.0,319.0,842.0
2024,Sachsen,97406.0,1473.0,2243.0
2024,Sachsen-Anhalt,58412.0,800.0,1696.0
2024,Schleswig-Holstein,69473.0,806.0,2957.0
2024,Thüringen,43037.0,514.0,1053.0
